ano,frota_rs,frota_rg,frota_pel
2007,3.855.215,63.159,116.167
2008,4.138.550,68.786,124.850
2009,4.417.646,73.501,134.173
2010,4.709.614,78.867,143.850
2011,5.031.931,85.606,154.714
2012,5.376.302,93.010,166.122
2013,5.721.904,101.375,177.003
2014,6.023.696,108.014,186.387
2015,6.234.770,111.226,192.726
2016,6.403.542,114.829,197.806
2017,6.574.700,117.447,203.175
2018,6.772.764,120.072,208.823
2019,6.977.604,122.438,214.428
2020,7.141.018,124.652,217.183
2021,7.308.202,125.900,220.593
2022,7.461.889,127.274,223.460
2023,7.637.859,129.062,227.665
2024,7.850.692,132.116,232.844
2025,8.022.116,134.121,237.371